assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards
0,0,0,0,0,0,0,0,0,0.0,0,0,618,0,0,259,0,0,0,0.0,14797,0.0,0,2018-02-05T20:00:00Z,05 Feb 20:00,0,0,0,0,0,5,0,0,0,0,0,0,26,0,186,0,0,0,1,4,0.0,0,174,236,62,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,618,0,0,270,0,0,0,0.0,15422,0.0,0,2018-02-10T15:00:00Z,10 Feb 15:00,0,0,0,0,0,20,0,0,0,0,0,0,27,0,272,0,0,0,0,2,0.0,0,63,119,56,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,618,0,0,279,0,0,0,0.0,16049,0.0,0,2018-02-24T17:30:00Z,24 Feb 17:30,0,0,0,0,0,7,0,0,0,0,0,0,28,0,411,0,0,0,0,1,0.0,0,71,134,63,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,618,0,0,290,0,0,0,0.0,16679,0.0,0,2018-03-03T15:00:00Z,03 Mar 15:00,0,0,0,0,0,19,0,0,0,0,0,0,29,0,433,0,0,0,0,1,0.0,0,0,48,48,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,618,0,0,291,0,0,0,0.0,17312,0.0,0,2018-03-11T13:30:00Z,11 Mar 13:30,0,0,0,0,0,1,0,0,0,0,0,0,30,0,431,0,0,0,0,3,0.0,0,-2,34,36,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,618,0,0,305,0,0,0,0.0,17587,0.0,0,2018-03-17T17:30:00Z,17 Mar 17:30,0,0,0,0,0,10,0,0,0,0,0,0,31,0,457,0,0,0,0,5,0.0,0,-4,42,46,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,618,0,0,318,0,0,0,0.0,18213,0.0,0,2018-03-31T14:00:00Z,31 Mar 15:00,0,0,0,0,0,2,0,0,0,0,0,0,32,0,468,0,0,0,2,2,0.0,0,8,55,47,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,618,0,0,329,0,0,0,0.0,18850,0.0,0,2018-04-07T14:00:00Z,07 Apr 15:00,0,0,0,0,0,4,0,0,0,0,0,0,33,0,486,0,0,0,2,1,0.0,0,6,30,24,45,True,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,618,0,0,333,0,0,0,0.0,19721,0.0,0,2018-04-14T14:00:00Z,14 Apr 15:00,0,0,0,0,0,8,0,0,0,0,0,0,34,0,525,0,0,0,0,1,0.0,0,17,43,26,45,False,0,0
0,0,0,0,0,0,0,0,0,0.0,0,0,618,0,0,349,0,0,0,0.0,20135,0.0,0,2018-04-21T14:00:00Z,21 Apr 15:00,0,0,0,0,0,6,0,0,0,0,0,0,35,0,543,0,0,0,0,0,0.0,0,8,32,24,45,True,0,0
