,FirstName,Surname,PositionsList,Team,name
0,Almen,Abdi,MID,Watford,Almen_Abdi
1,Charlie,Adam,MID,Stoke,Charlie_Adam
2,Albert,Adomah,MID,Middlesbrough,Albert_Adomah
3,Adrian,San Miguel del Castillo,GLK,West Ham,Adrian_San Miguel del Castillo
4,Ibrahim,Afellay,MID,Stoke,Ibrahim_Afellay
5,Benik,Afobe,FWD,AFC Bournemouth,Benik_Afobe
6,Sergio,Aguero,FWD,Manchester City,Sergio_Aguero
7,Ola,Aina,DEF,Chelsea,Ola_Aina
8,Nathan,Ake,DEF,AFC Bournemouth,Nathan_Ake
9,Chuba,Akpom,FWD,Arsenal,Chuba_Akpom
10,Marc,Albrighton,MID,Leicester,Marc_Albrighton
11,Toby,Alderweireld,DEF,Tottenham,Toby_Alderweireld
12,Trent,Alexander-Arnold,MID,Liverpool,Trent_Alexander-Arnold
13,Joe,Allen,MID,Stoke,Joe_Allen
14,Bamidele,Alli,MID,Tottenham,Bamidele_Alli
15,Marcos,Alonso,DEF,Chelsea,Marcos_Alonso
16,Daniel,Amartey,MID,Leicester,Daniel_Amartey
17,Jordi,Amat,DEF,Swansea,Jordi_Amat
18,Nordin,Amrabat,MID,Watford,Nordin_Amrabat
19,Keshi,Anderson,FWD,Crystal Palace,Keshi_Anderson
20,Jose Angel,Esmoris Tasende,DEF,Manchester City,Jose Angel_Esmoris Tasende
21,Victor,Anichebe,FWD,Sunderland,Victor_Anichebe
22,Michail,Antonio,MID,West Ham,Michail_Antonio
23,Ikechi,Anya,MID,Watford,Ikechi_Anya
24,Alvaro,Arbeloa,DEF,West Ham,Alvaro_Arbeloa
25,Scott,Arfield,MID,Burnley,Scott_Arfield
26,Marko,Arnautovic,MID,Stoke,Marko_Arnautovic
27,Harry,Arter,MID,AFC Bournemouth,Harry_Arter
28,Takuma,Asano,FWD,Arsenal,Takuma_Asano
29,Joel,Asoro,MID,Sunderland,Joel_Asoro
30,Charlie,Austin,FWD,Southampton,Charlie_Austin
31,Daniel,Ayala,DEF,Middlesbrough,Daniel_Ayala
32,Andre,Ayew,MID,West Ham,Andre_Ayew
33,Cesar,Azpilicueta,DEF,Chelsea,Cesar_Azpilicueta
34,Abdul Rahman,Baba,DEF,Chelsea,Abdul Rahman_Baba
35,Eric,Bailly,DEF,Man Utd,Eric_Bailly
36,Leighton,Baines,DEF,Everton,Leighton_Baines
37,Mario,Balotelli,FWD,Liverpool,Mario_Balotelli
38,Patrick,Bamford,FWD,Burnley,Patrick_Bamford
39,Alex,Baptiste,DEF,Middlesbrough,Alex_Baptiste
40,Phil,Bardsley,DEF,Stoke,Phil_Bardsley
41,Ross,Barkley,MID,Everton,Ross_Barkley
42,Ashley,Barnes,FWD,Burnley,Ashley_Barnes
43,Antonio,Barragan,DEF,Middlesbrough,Antonio_Barragan
44,Modou,Barrow,FWD,Swansea,Modou_Barrow
45,Gareth,Barry,MID,Everton,Gareth_Barry
46,Borja,Baston,FWD,Swansea,Borja_Baston
47,Michy,Batshuayi,FWD,Chelsea,Michy_Batshuayi
48,Asmir,Begovic,GLK,Chelsea,Asmir_Begovic
49,Valon,Behrami,MID,Watford,Valon_Behrami
50,Hector,Bellerin,DEF,Arsenal,Hector_Bellerin
51,Yohan,Benalouane,DEF,Leicester,Yohan_Benalouane
52,Nabil,Bentaleb,MID,Tottenham,Nabil_Bentaleb
53,Saido,Berahino,FWD,West Brom,Saido_Berahino
54,Steven,Berghuis,MID,Watford,Steven_Berghuis
